Conteúdo,Data de publicação,Formato,Funil,Guia de conteúdo,Plano,Plataforma,Primeiros posts,Tipo de conteúdo
Nunca faça [ERRO],,Vídeo curto,C1,Erros comuns,Semana 3,"Instagram, TikTok",No,
Vou te contar um segredo que vai mudar …,,Vídeo curto,C1,Dicas,Semana 2,"Instagram, TikTok",No,
Esclareça as dúvidas que o seu público tem sobre o seu serviço.,,Vídeo curto,C1,Perguntas comuns,Semana 2,Instagram,No,Primeiro post
Quem sou eu,,"Vídeo, Vídeo curto",C1,Histórias,Semana 1,"Instagram, TikTok, Youtube",Yes,Primeiro post
"Um erro que o seguidor comete + Pauta quente ",,Vídeo curto,C1,Erros comuns,Semana 3,"Instagram, TikTok",No,
"Como o seu serviço pode mudar o dia a dia do seu cliente (que não muda apenas no momento, que os benefícios permanecem por muito mais tempo)",,Vídeo curto,C1,Perguntas comuns,Semana 3,"Instagram, TikTok",No,
Fale um benefício ou mais do seu serviço que é desejo do seu seguidor.,,Vídeo curto,C1,Principais desejos,Semana 2,,No,
Vou te ensinar como [BENEFÍCIOS QUE O SEU SERVIÇO OFERECE],,Vídeo curto,C1,Dicas,Semana 4,"Instagram, TikTok",No,
Gerar valor através de um conteúdo que resolva uma dor e realize um desejo do seu público,,,C1,Principais desejos,Semana 1,"Instagram, TikTok",No,
Ensine algo que realmente faça diferença na vida do seu cliente.,,Vídeo curto,C1,Dicas,Semana 2,,No,
"3 Erros ",,Vídeo curto,C1,Erros comuns,Semana 4,"Instagram, TikTok",No,
Diferencial da marca,,Vídeo curto,,Perguntas comuns,Semana 1,"Instagram, TikTok, Youtube",Yes,Primeiro post
Feedbacks,,Vídeo curto,C1,Histórias,Semana 1,"Instagram, TikTok, Youtube",Yes,Primeiro post
"Daily vlog de vendas, atendimento ou rotina pessoal.",,Vídeo curto,C1,Histórias,Semana 3,"Instagram, TikTok",No,
"Você faz isso? (descreva a situação, o sentimento)",,Vídeo curto,C1,Erros comuns,Semana 2,,No,
Conheça a verdade sobre…,,Vídeo curto,C1,Perguntas comuns,Semana 4,"Instagram, TikTok",No,
"Dê dicas dê dicas de como manter o resultado por mais dias, hábitos.",,Vídeo curto,C1,Dicas,Semana 4,"Instagram, TikTok",No,
Bastidores da sua empresa.,,Vídeo curto,C1,Principais desejos,Semana 4,"Instagram, TikTok",No,
Mostre como o seu serviço pode transformar o dia a dia do seu cliente.,,Vídeo curto,C1,Dicas,Semana 3,"Instagram, TikTok",No,
Nossos produtos (o que vendemos),,Vídeo curto,C1,Principais desejos,Semana 1,"Instagram, TikTok, Youtube",Yes,Primeiro post
