Name,Categoria,Informação
Desejo 8,Desejos,Orgulho do próprio negócio
Dor 10,Dores,Falta de clareza
Objeção 1,Objeções,“Eu já investi em marketing/mentoria e me frustrei.”
Objeção 10,Objeções,“Tenho medo de crescer e perder o controle/qualidade.”
Idade,Dados Demográficos,28 a 55 anos
Fonte 2,Fontes de Informação,"Conteúdo Profundo
• Podcasts de negócios, gestão, vendas e empreendedorismo
• Entrevistas com donos de empresas reais
• Palestras de eventos (G4, StartSe, HSM, etc. – como referência mental, não como cópia)"
Faixa de renda,Dados Demográficos,A partir de R$ 30k/mêsCom maior concentração entre R$ 50k e R$ 500k/mês
Desafio 1,Desafios,Conteúdo sem função clara
Localização,Dados Demográficos,"Sudeste e Sul do Brasil
(SP, RJ, MG, PR e capitais + interior economicamente ativo)"
Desejo 7,Desejos,Lucro real
Dor 7,Dores,Gestão inexistente
Desejo 3,Desejos,Consistência
Desejo 9,Desejos,Autonomia
Hobbies,Comportamento Online,"
Desenvolvimento pessoal
Conteúdo de negócios diariamente
Estilo de vida saudável
Moda, estética e bem-estar
Viagens e experiências Gastronomia
Organização e estética do ambiente
Valorização de tempo e qualidade de vida"
Preferências de conteúdo,Comportamento Online,"
• Estratégia clara e aplicada
• Bastidores de decisões reais
• Processos e frameworks
• Análises de negócios reais
• Estudos de caso profundos
• Conteúdo que conecta marketing, gestão e vendas
• Verdade dura, mas útil
• Aulas de raciocínio estratégico
• Conteúdo que os faça pensar como donos
Eles não querem:
• dicas de conteúdo
• trends
• tutoriais de Instagram"
Desejo Central,Desejos,"Vender com clareza, estratégia e previsibilidade sem depender de sorte, improviso ou promessas vazias."
Objetivo 2,Objetivos,Ter previsibilidade mínima de vendas
Objeção 3,Objeções,"“Meu negócio é muito específico, não sei se funciona para mim.”"
Principais buscas,Comportamento Online,"Como crescer com previsibilidade
Como estruturar um time comercial
Como escalar operações
Como organizar empresa para crescer
Como deixar de depender do dono
Como implantar processos
Como integrar marketing + vendas + gestão
Como ter lucro todos os meses
Como criar cultura e time de alta performance"
Desejo 5,Desejos,Autoridade
Objeção 5,Objeções,“Tenho medo de não conseguir implementar com a equipe que tenho.”
Valor 2,Valores e Medos,Escreva aqui um valor da sua persona
Dor 3,Dores,Falta de previsibilidade
Fonte 1,Fontes de Informação,"Redes Sociais (mas de forma mais seletiva)
• Instagram (perfis de negócios, gestão, vendas, estratégia)
• YouTube (aulas, entrevistas, análises mais longas)
• LinkedIn (para quem está mais madura e busca conteúdo de gestão)
"
Dor Central,Dores,"Eu trabalho, apareço, produzo conteúdo e até vendo mas tudo ainda depende de improviso e não é previsível.”"
Desejo 2,Desejos,Clareza
Desafio 2,Desafios,Posicionamento confuso ou genérico
Dor 6,Dores,Marketing solto
Objeção 4,Objeções,"“Hoje eu já vendo bem, não sei se realmente preciso disso agora.”"
Dor 8,Dores,Faturamento oscilante
Objeção 9,Objeções,“Não sei se estou no estágio certo do negócio para isso.”
Dor 2,Dores,Falta de estratégia
Interesses,Comportamento Online,"• Moda e bem-estar (se cuidar, se vestir bem, se sentir “à altura” do negócio)
• Leitura de livros de negócios, biografias e desenvolvimento pessoal
• Consumo de conteúdo sobre liderança, carreira e empreendedorismo
• Participar de eventos, imersões e encontros de networking"
Dor 9,Dores,Falta de controle
Objeção 2,Objeções,“Eu não tenho tempo para mais um programa.”
Desejo 4,Desejos,Respeito
Valor 1,Valores e Medos,Escreva aqui um valor da sua persona
Objeção 8,Objeções,“Tenho trauma de agência/consultor que prometeu e sumiu.”
Objetivo 1,Objetivos,Vender todos os dias
