Name,Categoria,Informação
Objetivo 1,Objetivos,Vender todos os dias
Objeção 1,Objeções,“Eu já investi em marketing/mentoria e me frustrei.”
Idade,Dados Demográficos,28 a 55 anos
Desejo 8,Desejos,Orgulho do próprio negócio
Desejo 7,Desejos,Lucro real
Desejo 9,Desejos,Autonomia
Desejo 3,Desejos,Consistência
Objeção 3,Objeções,"“Meu negócio é muito específico, não sei se funciona para mim.”"
Desejo Central,Desejos,"Vender com clareza, estratégia e previsibilidade sem depender de sorte, improviso ou promessas vazias."
Objeção 5,Objeções,“Tenho medo de não conseguir implementar com a equipe que tenho.”
Desafio 2,Desafios,Posicionamento confuso ou genérico
Dor Central,Dores,"Eu trabalho, apareço, produzo conteúdo e até vendo mas tudo ainda depende de improviso e não é previsível.”"
Dor 3,Dores,Falta de previsibilidade
Dor 2,Dores,Falta de estratégia
Desejo 4,Desejos,Respeito
Comportamento de compra,Comportamento de Compra,"Já investiu em marketing e se frustrouJá contratou agência que não entregou nadaJá fez cursos rasosJá tentou fazer sozinhoEstá disposto a pagar mais por método + direção + acompanhamentoValoriza proximidade com o mentorConfia em narrativa verdadeira, não hype"
Valor 1,Valores e Medos,Escreva aqui um valor da sua persona
Nível de educação,Dados Demográficos,"Superior completo ou em andamento; muitas com pós, cursos ou especializações."
Objeção 7,Objeções,"“É um investimento alto, preciso ter certeza que vai voltar.”"
Medo 1,Valores e Medos,Investir novamente e não ter retorno
Dor 10,Dores,Falta de clareza
Dor 7,Dores,Gestão inexistente
Objetivo 2,Objetivos,Ter previsibilidade mínima de vendas
Preferências de conteúdo,Comportamento Online,"
• Estratégia clara e aplicada
• Bastidores de decisões reais
• Processos e frameworks
• Análises de negócios reais
• Estudos de caso profundos
• Conteúdo que conecta marketing, gestão e vendas
• Verdade dura, mas útil
• Aulas de raciocínio estratégico
• Conteúdo que os faça pensar como donos
Eles não querem:
• dicas de conteúdo
• trends
• tutoriais de Instagram"
Dor 8,Dores,Faturamento oscilante
Objeção 4,Objeções,"“Hoje eu já vendo bem, não sei se realmente preciso disso agora.”"
Dor 9,Dores,Falta de controle
Desejo 6,Desejos,Previsibilidade
Dor 5,Dores,Time desorganizado
Objeção 6,Objeções,"“Meu problema não é marketing, é gente/processo/gestão.”"
Medo 2,Valores e Medos,Investir novamente e não ter retorno
Gênero,Dados Demográficos,70% mulheres
Desejo 10,Desejos,Liberdade de tempo
Objeção 10,Objeções,“Tenho medo de crescer e perder o controle/qualidade.”
Localização,Dados Demográficos,"Sudeste e Sul do Brasil
(SP, RJ, MG, PR e capitais + interior economicamente ativo)"
Faixa de renda,Dados Demográficos,A partir de R$ 30k/mêsCom maior concentração entre R$ 50k e R$ 500k/mês
Desejo 5,Desejos,Autoridade
Principais buscas,Comportamento Online,"Como crescer com previsibilidade
Como estruturar um time comercial
Como escalar operações
Como organizar empresa para crescer
Como deixar de depender do dono
Como implantar processos
Como integrar marketing + vendas + gestão
Como ter lucro todos os meses
Como criar cultura e time de alta performance"
Valor 2,Valores e Medos,Escreva aqui um valor da sua persona
Fonte 1,Fontes de Informação,"Redes Sociais (mas de forma mais seletiva)
• Instagram (perfis de negócios, gestão, vendas, estratégia)
• YouTube (aulas, entrevistas, análises mais longas)
• LinkedIn (para quem está mais madura e busca conteúdo de gestão)
"
Objeção 9,Objeções,“Não sei se estou no estágio certo do negócio para isso.”
Dor 6,Dores,Marketing solto
Interesses,Comportamento Online,"• Moda e bem-estar (se cuidar, se vestir bem, se sentir “à altura” do negócio)
• Leitura de livros de negócios, biografias e desenvolvimento pessoal
• Consumo de conteúdo sobre liderança, carreira e empreendedorismo
• Participar de eventos, imersões e encontros de networking"
Objeção 8,Objeções,“Tenho trauma de agência/consultor que prometeu e sumiu.”
Objeção 2,Objeções,“Eu não tenho tempo para mais um programa.”
Dor 4,Dores,Rotina caótica
Fonte 2,Fontes de Informação,"Conteúdo Profundo
• Podcasts de negócios, gestão, vendas e empreendedorismo
• Entrevistas com donos de empresas reais
• Palestras de eventos (G4, StartSe, HSM, etc. – como referência mental, não como cópia)"
Desafio 1,Desafios,Conteúdo sem função clara
Hobbies,Comportamento Online,"
Desenvolvimento pessoal
Conteúdo de negócios diariamente
Estilo de vida saudável
Moda, estética e bem-estar
Viagens e experiências Gastronomia
Organização e estética do ambiente
Valorização de tempo e qualidade de vida"
Desejo 2,Desejos,Clareza
Psicografia,Dados Demográficos,"Cresceram no improviso
O negócio “funciona”, mas não é previsível
Trabalham muito mais do que deveriam
Sentem que o negócio depende demais deles
Já investiram em marketing, mas sem clareza
Já tentaram produzir conteúdo, mas sem estratégia
Viveram frustrações com:
• agências
• social medias
• promessas vaziasSão céticos com “marketing milagroso”Têm medo de:
• continuar tentando sem saber se está certo
• investir de novo e errarProcuram:
• seriedade
• método
• clareza
• direção
Querem crescer, mas não querem virar reféns do digital"
Objetivo 3,Objetivos,Parar de improvisar marketing e conteúdo
Objetivo 4,Objetivos,Saber exatamente o que comunicar
Objetivo 5,Objetivos,Ser visto como autoridade no seu segmento
Objetivo 6,Objetivos,Atrair clientes certos (não qualquer cliente)
Objetivo 7,Objetivos,Transformar conteúdo em venda
Objetivo 8,Objetivos,Crescer sem se esgotar
Objetivo 9,Objetivos,Sentir que o negócio “faz sentido”
Objetivo 10,Objetivos,Ter clareza de próximo passo
Objetivo 11,Objetivos,Ter controle sobre o crescimento
Desafio 3,Desafios,Comunicação que não diferencia
Desafio 4,Desafios,Marketing desconectado de vendas
Desafio 5,Desafios,Vendas instáveis
Desafio 6,Desafios,Falta de rotina comercial
Desafio 7,Desafios,Dificuldade de transformar visibilidade em faturamento
Desafio 8,Desafios,Esforço alto para retorno baixo
"Desafio 9 ",Desafios,Falta de método para decidir
Desafio 10,Desafios,Sensação constante de tentativa e erro
Desafio 11,Desafios,Time que não performa
Desafio 12,Desafios,Negócio dependente 100% do dono
Desejo 11,Desejos,Crescimento sustentável
Dor 11,Dores,Falta de tempo
Medo 3,Valores e Medos,Crescer errado e quebrar depois
Medo 4,Valores e Medos,Perder relevância no mercado
Medo 5,Valores e Medos,Ser ultrapassado por concorrentes mais estratégicos
Medo 6,Valores e Medos,Ficar preso ao operacional para sempre
Medo 7,Valores e Medos,Nunca saber se está “fazendo certo”
Medo 8,Valores e Medos,Depender eternamente de indicações
Quem não é,Dados Demográficos,"Quem quer viralizar
Quem busca fórmula rápida
Quem está começando do zero
Quem não tem negócio real
Quem quer apenas aprender reels, tráfego ou hacks
Quem terceiriza responsabilidade
Quem não aceita verdade, método e profundidade
Quem quer palco, não venda"
Fonte 3,Fontes de Informação,"Formações e Mentorias
• Mentorias e programas de negócios que ela já fez
• Cursos de gestão, vendas, liderança, marketing, finanças
• Lives e aulas abertas de players que ela respeita"
Fonte 4,Fontes de Informação,"Redes de Relacionamento
• Grupos de empresárias (WhatsApp/Telegram)
• Associações de classe, grupos de networking, núcleos de empreendedores
• Amigas empreendedoras que “trocam dor” e indicação"
Fonte 5,Fontes de Informação,"Leitura
• Livros de negócios, marketing, finanças e liderança
• Artigos e newsletters de players que ela respeita"
"Dor 1 ",Dores,Vendas instáveis
"Desejo ",Desejos,Segurança
Tipo de negócio,Dados Demográficos,"Serviços, 
Profissionais liberais
Saúde
Moda, varejo e comércio
Educação e especialidades"
Estrutura,Dados Demográficos,"Negócios pequenos e médios
1 a 10 colaboradores"
Tempo de negócio,Dados Demográficos,"1 a 10 anos
Não são iniciantes absolutos"
Medo 9,Valores e Medos,"
Se expor no digital e não ser levado a sério"
Trava 1,Travas principais,Posicionamento confuso
Trava 2,Travas principais,Conteúdo sem intenção estratégica
Trava 3,Travas principais,Falta de clareza comercial
Trava 4,Travas principais,Falta de método de decisão
Trava 5,Travas principais,Marketing desconectado de vendas
Trava 6,Travas principais,Falta de estrutura mínima de venda
Trava 7,Travas principais,Dependência excessiva do dono
Trava 8,Travas principais,Medo de errar novamente
Trava 9,Travas principais,Excesso de informação e pouca direção
Tensão 1,Tensões reais,Aparece → mas não converte
Tensão 2,Tensões reais,Vende → mas não sabe repetir
Tensão 3,Tensões reais,Cresce → mas fica mais cansado
Tensão 4,Tensões reais,Investe → mas não se sente seguro
Tensão 5,Tensões reais,Aprende → mas não aplica com clareza
Tensão 6,Tensões reais,Testa → mas não tem método
Tensão 7,Tensões reais,Quer crescer → mas não quer errar de novo
