Tema da análise,Ajustado,Categoria,Classificação desktop,Classificação mobile,O que pode melhorar?
Política de Privacidade e Cookies existe?,No,Clareza da Informação,,,
Canais de atendimento claros?,No,Atendimento,,,
Política de Frete está clara?,No,Clareza da Informação,,,
Banners clicáveis,No,Experiência do usuário,,,
A compra é fácil?,No,Jornada do Cliente,,,
Primeira dobra,No,Experiência do usuário,,,
Segunda dobra,No,Experiência do usuário,,,
Descrições bem feitas?,No,Clareza da Informação,,,
Categorias corretas e claras?,No,Clareza da Informação,,,
Política de Trocas existe?,No,Clareza da Informação,,,
Boa estrutura?,No,Estrutura do site,,,
Processo de Pagamento,No,Vendas,,,
Produtos em destaque?,No,Vendas,,,
