Name,Assign,Status,Tipo
Definição de Metas,,Not started,Lançamentos
Definição da Oferta,,Not started,Ações semanais
Definição de Metas,,Not started,Datas especiais
Aquecimento,,Not started,Ações quinzenais
Evento,,Not started,Ações mensais
Card 3,,Not started,
Aquecimento,,Not started,Ações mensais
Planejamento,,Not started,Lançamentos
Venda,,Not started,Lançamentos
Definição da Oferta,,Not started,Lançamentos
Aquecimento,,Not started,Lançamentos
Evento,,Not started,Datas especiais
Venda,,Not started,Ações quinzenais
Evento,,Not started,Ações semanais
Planejamento,,Not started,Ações mensais
Planejamento,,Not started,Ações semanais
Definição de Metas,,Not started,Ações quinzenais
Venda,,Not started,Datas especiais
Venda,,Not started,Ações mensais
Definição de Metas,,Not started,Ações semanais
Aquecimento,,Not started,Datas especiais
Definição da Oferta,,Not started,Datas especiais
Definição de Metas,,Not started,Ações mensais
Definição da Oferta,,Not started,Ações quinzenais
Aquecimento,,Not started,Ações semanais
Evento,,Not started,Lançamentos
Definição da Oferta,,Not started,Ações mensais
Evento,,Not started,Ações quinzenais
Venda,,Not started,Ações semanais
Planejamento,,Not started,Ações quinzenais
Planejamento,,Not started,Datas especiais
